tri,x0,y0,z0,x1,y1,z1,x2,y2,z2,energy
202,11.000000,10.000000,20.000000,12.000000,10.000000,20.000000,11.000000,11.000000,20.000000,0.291687
203,12.000000,10.000000,20.000000,12.000000,11.000000,20.000000,11.000000,11.000000,20.000000,0.291065
204,12.000000,10.000000,20.000000,13.000000,10.000000,20.000000,12.000000,11.000000,20.000000,0.290250
205,13.000000,10.000000,20.000000,13.000000,11.000000,20.000000,12.000000,11.000000,20.000000,0.289680
206,13.000000,10.000000,20.000000,14.000000,10.000000,20.000000,13.000000,11.000000,20.000000,0.289032
207,14.000000,10.000000,20.000000,14.000000,11.000000,20.000000,13.000000,11.000000,20.000000,0.288077
208,14.000000,10.000000,20.000000,15.000000,10.000000,20.000000,14.000000,11.000000,20.000000,0.287414
209,15.000000,10.000000,20.000000,15.000000,11.000000,20.000000,14.000000,11.000000,20.000000,0.286271
210,15.000000,10.000000,20.000000,16.000000,10.000000,20.000000,15.000000,11.000000,20.000000,0.285953
211,16.000000,10.000000,20.000000,16.000000,11.000000,20.000000,15.000000,11.000000,20.000000,0.285286
